product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,price
"OPPO F5 (Gold, 32 GB)",4,16,3200,32,6,4.4,19990
"Huawei P9 (Prestige Gold, 32 GB)",3,12,3000,32,5.2,4.5,39999
"Samsung Galaxy M01 (Blue, 32 GB)",3,13,4000,32,5.7,4.3,9990
"Vivo Y15 (Aqua Blue, 64 GB)",4,13,5000,64,6.35,4.4,12900
"OPPO F3 (Gold, 64 GB)",4,13,3200,64,5.5,4.3,20990
"Motorola Edge+ (Thunder Grey, 256 GB)",12,108,5000,256,6.7,4.2,74999
"Redmi Y2 (Rose Gold, 32 GB)",3,12,3080,32,5.99,4.5,8689
"LG G Pro 2 (Titan, 16 GB)",3,13,3200,16,5.9,4.6,42021
Jivi N444,24,1,1750,24,2.1,3.1,1199
"POCO F1 (Graphite Black, 64 GB)",6,12,4000,64,6.18,4.5,19999
"Samsung Galaxy Note 10 (Aura Glow, 256 GB)",8,12,3500,256,6.3,4.5,75000
"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)",4,12,3500,64,6.2,4.6,53990
"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)",4,12,3500,64,6.2,4.6,53990
Jmax M43 Combo of two,32,1,1050,32,1.8,4.1,1149
"Samsung Galaxy Note 9 (Alpine White, 128 GB)",6,12,4000,128,6.4,4.6,73600
"Alcatel 3V (Spectrum Blue, 32 GB)",3,16,3000,32,6,3.6,10999
"Mi 10 (Coral Green, 256 GB)",8,108,4780,256,6.67,4.8,51990
"Vivo V5 (Crown gold, 32 GB)",4,13,3000,32,5.5,4.3,17980
"Lenovo K3 Note (Yellow, 16 GB)",2,13,2900,16,5.5,4,9999
Jivi N3,32,1,1450,32,2.4,4,949
"Gionee A1 (Black, 64 GB)",4,13,4010,64,5.5,4,21499
JIVI JFP R21,10,1,1000,512,1.8,3.4,799
"OPPO A1K (Black, 32 GB)",2,8,4000,32,6.1,4.4,7490
"XOLO T1000 (Black, 4 GB)",1,8,2000,4,4.7,3.8,14153
"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)",4,12,3500,64,6.2,4.6,53990
"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)",12,12,4300,256,6.8,4.6,85000
