battery,camera,display,no_of_ratings,no_of_reviews,price,product_name,ram,rating
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"3,837 Ratings ", 739 Reviews,"₹34,990","iQOO 3 (Tornado Black, 128 GB)",8 GB RAM | 128 GB ROM,4.4
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,"46,265 Ratings "," 4,989 Reviews","₹21,999","Redmi K20 (Carbon Black, 64 GB)",6 GB RAM | 64 GB ROM,4.5
5000 mAh Lithium-ion Battery,16MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,"10,938 Ratings ", 902 Reviews,"₹9,499","Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.5
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"11,454 Ratings "," 1,781 Reviews","₹31,999","Realme X2 Pro (Lunar White, 128 GB)",8 GB RAM | 128 GB ROM,4.6
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"5,522 Ratings ", 848 Reviews,"₹35,999","Realme X2 Pro (Lunar White, 256 GB)",12 GB RAM | 256 GB ROM,4.6
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"5,522 Ratings ", 848 Reviews,"₹35,999","Realme X2 Pro (Neptune Blue, 256 GB)",12 GB RAM | 256 GB ROM,4.6
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"11,454 Ratings "," 1,781 Reviews","₹31,999","Realme X2 Pro (Lunar White, 128 GB)",8 GB RAM | 128 GB ROM,4.6
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"11,454 Ratings "," 1,781 Reviews","₹31,999","Realme X2 Pro (Neptune Blue, 128 GB)",8 GB RAM | 128 GB ROM,4.6
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,"12,852 Ratings "," 1,790 Reviews","₹29,999","Redmi K20 Pro (Flame Red, 256 GB)",8 GB RAM | 256 GB ROM,4.5
4500 mAh Lithium Polymer Battery,16MP + 8MP + 2MP | 32MP Front Camera,16.21 cm (6.38 inch) Full HD+ Display,"8,926 Ratings ", 644 Reviews,"₹16,990","Vivo S1 (Skyline Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.5
4500 mAh Lithium Polymer Battery,16MP + 8MP + 2MP | 32MP Front Camera,16.21 cm (6.38 inch) Full HD+ Display,"2,180 Ratings ", 164 Reviews,"₹18,990","Vivo S1 (Skyline Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.5
4000 mAh Battery,16MP + 2MP | 16MP Front Camera,15.75 cm (6.2 inch) HD+ Display,"4,154 Ratings ", 477 Reviews,"₹9,999","Panasonic Eluga Ray 810 (Starry Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,3.9
4000 mAh Lithium-ion Battery,25MP + 5MP + 8MP | 25MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,"10,309 Ratings ", 928 Reviews,"₹18,999","Samsung Galaxy A50 (White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.4
4000 mAh Lithium-ion Battery,25MP + 5MP + 8MP | 25MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,"10,309 Ratings ", 928 Reviews,"₹20,949","Samsung Galaxy A50 (Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.4
4000 mAh Lithium-ion Battery,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,"2,840 Ratings ", 337 Reviews,"₹25,999","Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.4
3000 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.84 cm (5.45 inch) FWVGA Display,"2,853 Ratings ", 272 Reviews,"₹6,499","Panasonic ELUGA I6 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,3.9
5000 mAh Lithium-ion Battery,16MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,"10,938 Ratings ", 902 Reviews,"₹9,499","Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.5
4500 mAh Lithium Ion Battery,64MP + 5MP + 8MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,931 Ratings , 124 Reviews,"₹25,900","Samsung Galaxy A70s (Prism Crush White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.2
4000 mAh Battery,16MP + 8MP + 2MP | 16MP Front Camera,16.74 cm (6.59 inch) Full HD+ Display,692 Ratings , 71 Reviews,"₹16,899","Huawei Y9 Prime 2019 (Sapphire Blue, 128 GB)",4 GB RAM | 128 GB ROM,4.3
5000 mAh Battery,13MP Rear Camera,16.0 cm (6.3 inch) Display,"10,387 Ratings ", 742 Reviews,"₹13,599","Vivo Y12 (BURGUNDY RED, 64 GB)",3 GB RAM | 64 GB ROM,4.4
4030 mAh Battery,48MP + 8MP + 2MP | 32MP Front Camera,15.44 cm (6.08 inch) HD+ Display,"10,682 Ratings ", 939 Reviews,"₹17,475","Mi A3 (Kind of Grey, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.3
1750 mAh Battery,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,"4,584 Ratings ", 563 Reviews,"₹1,499",Lava A7,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,4.2
3600 mAh Battery,16MP + 2MP | 25MP Front Camera,16.28 cm (6.41 inch) Display,942 Ratings , 57 Reviews,"₹13,990","OPPO K1 (Astral Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.4
3600 mAh Battery,16MP + 2MP | 25MP Front Camera,16.28 cm (6.41 inch) Display,942 Ratings , 57 Reviews,"₹13,990","OPPO K1 (Piano Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.4
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,"12,852 Ratings "," 1,790 Reviews","₹29,999","Redmi K20 Pro (Carbon Black, 256 GB)",8 GB RAM | 256 GB ROM,4.5
3750 mAh Battery,48MP + 2MP + 16MP | 32MP Front Camera,15.9 cm (6.26 inch) Display,"1,847 Ratings ", 299 Reviews,"₹22,999","Honor 20 (Sapphire Blue, 128 GB)",6 GB RAM | 128 GB ROM,4.4
3750 mAh Battery,48MP + 2MP + 16MP | 32MP Front Camera,15.9 cm (6.26 inch) Display,"1,847 Ratings ", 299 Reviews,"₹22,999","Honor 20 (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM,4.4
1000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,102 Ratings , 7 Reviews,₹639,I Kall K51,32 MB RAM | 64 MB ROM,3.6
4000 mAh Battery,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,16.26 cm (6.4 inch) Display,"1,03,204 Ratings "," 11,831 Reviews","₹16,999","Realme XT (Pearl Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.5
4000 mAh Battery,13MP Rear Camera,15.9 cm (6.26 inch) Display,425 Ratings , 39 Reviews,"₹10,942","Nokia 3.2 (Black, 32 GB)",3 GB RAM | 32 GB ROM,4.1
800 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) QVGA Display,640 Ratings , 50 Reviews,₹999,Lava A1 super,4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,4.2
3700 mAh Li-ion Battery,"48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8MP + 5MP, AI Triple Rear Camera | 32MP Front Camera",16.23 cm (6.39 inch) Full HD+ Display,"29,528 Ratings "," 2,742 Reviews","₹21,099","Vivo V15 Pro (Ruby Red, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.5
2500 mAh Battery,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,738 Ratings , 67 Reviews,"₹1,070",Itel It 5605n,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.1
4500 mAh Lithium-ion Battery,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,758 Ratings , 93 Reviews,"₹34,990","Samsung Galaxy A71 (Prism Crush Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.4
1000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,45 Ratings , 5 Reviews,₹639,I Kall K 54,32 MB RAM | 32 MB ROM,3.5
4000 mAh Li Polymer Battery,12MP + 5MP | 20MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,"11,57,764 Ratings "," 1,23,814 Reviews","₹15,999","Redmi Note 5 Pro (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,4.5
2500 mAh Battery,1.8MP Rear Camera,6.1 cm (2.4 inch) VGA Display,48 Ratings , 5 Reviews,"₹1,079",Blackbear C-99 Sultan,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,"7,617 Ratings "," 1,697 Reviews","₹47,999","Samsung Galaxy S10 Lite (Prism Black, 512 GB)",8 GB RAM | 512 GB ROM | Expandable Upto 1 TB,4.5
1500 mAh Battery,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,60 Ratings , 4 Reviews,"₹1,999",I Kall K 60,32 MB RAM | 32 MB ROM,4
5000 mAh Battery,13MP Rear Camera,16.26 cm (6.4 inch) Display,"3,703 Ratings ", 276 Reviews,"₹16,390","Samsung Galaxy M30 (Gradation Blue, 64 GB)",4 GB RAM | 64 GB ROM,4.3
4000 mAh Battery,13MP + 2MP | 5MP Front Camera,15.75 cm (6.2 inch) HD+ Display,281 Ratings , 36 Reviews,"₹9,990","Nokia 2.3 (Charcoal, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,"12,852 Ratings "," 1,790 Reviews","₹29,999","Redmi K20 Pro (Pearl White, 256 GB)",8 GB RAM | 256 GB ROM,4.5
850 mAh Battery,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,"9,349 Ratings ", 830 Reviews,₹949,Kechaoda K115,32 MB RAM | 32 MB ROM,4.1
2200 mAh Battery,5MP Rear Camera,12.7 cm (5 inch) Display,174 Ratings , 12 Reviews,"₹4,699","I Kall K600 (Black, 16 GB)",2 GB RAM | 16 GB ROM,2.9
4000 mAh Battery,48MP + 12MP | 20MP Front Camera,16.23 cm (6.39 inch) Display,234 Ratings , 34 Reviews,"₹42,499","Black Shark 2 (Frozen Silver, 256 GB)",12 GB RAM | 256 GB ROM,4.4
1000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,988 Ratings , 99 Reviews,₹839,Itel IT 2163,32 MB RAM | 32 MB ROM,4
4000 mAh Battery,12MP + 5MP | 8MP Front Camera,16.74 cm (6.59 inch) Full HD+ Display,625 Ratings , 78 Reviews,"₹29,990","Vivo NEX (Black, 128 GB)",8 GB RAM | 128 GB ROM,4.2
1800 mAh Li-Ion Battery,1.3MP Rear Camera,6.6 cm (2.6 inch) QVGA Display,"6,289 Ratings ", 759 Reviews,"₹1,390",Karbonn Jumbo K9,Expandable Upto 8 GB,4
