,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
49,OPPO F15 (,8,48,4000,128,6.4,4.4,7346,678,18990
50,Lava A1,4,0,,24,1.77,4.1,10618,1028,941
51,iQOO 3 (Qu,8,48,4440,128,6.44,4.4,3837,739,34990
52,iQOO 3 (Qu,8,48,4440,256,6.44,4.4,3837,739,37990
53,iQOO 3 (To,8,48,4440,128,6.44,4.4,3837,739,34990
54,Redmi K20 ,6,48,4000,64,6.39,4.5,46265,4989,21999
55,Motorola G,4,16,5000,64,6.5,4.5,10938,902,9499
56,Realme X2 ,8,64,4000,128,6.5,4.6,11454,1781,31999
57,Realme X2 ,12,64,4000,256,6.5,4.6,5522,848,35999
58,Realme X2 ,12,64,4000,256,6.5,4.6,5522,848,35999
59,Realme X2 ,8,64,4000,128,6.5,4.6,11454,1781,31999
60,Realme X2 ,8,64,4000,128,6.5,4.6,11454,1781,31999
61,Redmi K20 ,8,48,4000,256,6.39,4.5,12852,1790,29999
62,Vivo S1 (S,4,16,4500,128,6.38,4.5,8926,644,16990
63,Vivo S1 (S,6,16,4500,64,6.38,4.5,2180,164,18990
64,Panasonic ,4,16,4000,64,6.2,3.9,4154,477,9999
65,Samsung Ga,6,25,4000,64,6.4,4.4,10309,928,18999
66,Samsung Ga,6,25,4000,64,6.4,4.4,10309,928,20949
67,Samsung Ga,6,48,4000,128,6.4,4.4,2840,337,25999
68,Panasonic ,2,8,3000,16,5.45,3.9,2853,272,6499
69,Motorola G,4,16,5000,64,6.5,4.5,10938,902,9499
70,Samsung Ga,6,64,4500,128,6.7,4.2,931,124,25900
71,Huawei Y9 ,4,16,4000,128,6.59,4.3,692,71,16899
72,Vivo Y12 (,3,13,5000,64,6.3,4.4,10387,742,13599
73,Mi A3 (Kin,6,48,4030,128,6.08,4.3,10682,939,17475
74,Lava A7,32,0,1750,24,2.4,4.2,4584,563,1499
75,OPPO K1 (A,6,16,3600,64,6.41,4.4,942,57,13990
76,OPPO K1 (P,6,16,3600,64,6.41,4.4,942,57,13990
77,Redmi K20 ,8,48,4000,256,6.39,4.5,12852,1790,29999
78,Honor 20 (,6,48,3750,128,6.26,4.4,1847,299,22999
79,Honor 20 (,6,48,3750,128,6.26,4.4,1847,299,22999
80,I Kall K51,32,0,1000,64,1.8,3.6,102,7,639
81,Realme XT ,4,64,4000,64,6.4,4.5,103204,11831,16999
82,Nokia 3.2 ,3,13,4000,32,6.26,4.1,425,39,10942
83,Lava A1 su,4,0,,3,1.8,4.2,640,50,999
84,Vivo V15 P,6,48,3700,128,6.39,4.5,29528,2742,21099
85,Itel It 56,32,0,2500,32,1.77,4.1,738,67,1070
86,Samsung Ga,8,64,4500,128,6.7,4.4,758,93,34990
87,I Kall K 5,32,0,1000,32,1.8,3.5,45,5,639
88,Redmi Note,4,12,4000,64,5.99,4.5,1157764,123814,15999
89,Blackbear ,64,1,2500,64,2.4,4.0,48,5,1079
90,Samsung Ga,8,48,4500,512,6.7,4.5,7617,1697,47999
91,I Kall K 6,32,0,1500,32,2.4,4.0,60,4,1999
92,Samsung Ga,4,13,5000,64,6.4,4.3,3703,276,16390
93,Nokia 2.3 ,2,13,4000,32,6.2,4.0,281,36,9990
94,Redmi K20 ,8,48,4000,256,6.39,4.5,12852,1790,29999
95,Kechaoda K,32,0,,32,1.44,4.1,9349,830,949
96,I Kall K60,2,5,2200,16,5,2.9,174,12,4699
97,Black Shar,12,48,4000,256,6.39,4.4,234,34,42499
98,Itel IT 21,32,0,1000,32,1.8,4.0,988,99,839
99,Vivo NEX (,8,12,4000,128,6.59,4.2,625,78,29990
100,Karbonn Ju,8,1,1800,,2.6,4.0,6289,759,1390
101,OPPO Reno2,8,48,4000,128,6.5,4.5,2469,231,21990
102,Nokia 3.2 ,3,13,4000,32,6.26,4.1,425,39,11965
103,Redmi K20 ,6,48,4000,128,6.39,4.5,46265,4989,24999
104,OnePlus 7 ,8,48,4000,256,6.67,4.6,874,85,43499
105,Blackberry,4,13,4000,64,5.99,3.7,2788,433,15999
106,Realme X2 ,6,64,4000,64,6.5,4.5,872,135,29999
107,I Kall K22,32,0,,64,1.8,3.4,100,9,1199
108,Nubia Red ,8,48,5000,128,6.6,4.2,1132,223,38999
109,Alcatel 5V,3,16,4000,32,6.2,4.5,122,29,9690
110,Moto One (,4,13,3000,64,5.9,4.1,352,47,14999
111,Redmi K20 ,6,48,4000,128,6.39,4.5,46265,4989,24999
