,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
112,Realme XT ,4,64,4000,64,6.4,4.5,103204,11831,16999
113,Moto One (,4,13,3000,64,5.9,4.1,352,47,14999
114,OnePlus 7T,8,48,4085,256,6.67,4.6,409,32,47927
115,Google Pix,4,12,3700,64,6,4.5,1528,223,34999
116,Samsung Ga,8,12,4500,128,6.7,4.5,184,37,39999
117,I Kall K-6,32,0,1500,64,2.4,4.1,40,6,1899
118,Easyfone R,32,0,,32,2.4,4.1,412,61,3399
119,Lava A1,24,0,,24,1.77,4.2,65458,7628,897
120,POCO F1 (S,6,12,4000,128,6.18,4.5,239061,29822,18999
121,Micromax X,32,0,2500,32,1.77,4.0,5340,546,996
122,Itel Magic,32,0,1200,32,2.4,4.2,317,38,1499
123,Blackzone ,10,0,1000,10,1.8,3.8,69,7,690
124,Samsung Ga,8,64,4500,128,6.7,4.4,758,93,34990
125,OPPO R17 P,8,12,3700,128,6.4,4.1,530,77,31590
126,Nokia 3310,16,2,1200,32,2.4,3.8,25015,2886,3866
127,Lava A5,32,0,1000,24,2.4,4.1,977,107,1125
128,Tecno Camo,6,48,4000,128,6.53,4.3,181,27,15999
129,Itel It 21,32,0,1000,32,1.8,4.1,815,79,1049
130,Nokia 6.1 ,4,16,3000,64,5.5,4.0,13888,1468,14998
131,Itel it560,32,0,2500,32,1.8,4.1,157,15,1140
132,ITEL magic,8,0,1900,8,2.8,3.9,523,58,1680
133,Realme 3 P,6,16,4045,128,6.3,4.5,124331,14386,16999
134,Realme 3 P,6,16,4045,64,6.3,4.5,124331,14386,15999
135,Tork T3,32,0,2500,32,1.8,3.5,21,1,999
136,Nokia 150,4,0,1020,4,2.4,4.2,9509,924,2135
137,Alcatel 5V,3,16,4000,32,6.2,4.5,122,29,12999
138,OPPO F11 P,6,48,4000,128,6.5,4.4,117059,11254,17990
139,Redmi K20 ,6,48,4000,128,6.39,4.5,46265,4989,24999
140,OPPO Reno2,8,48,4000,256,6.5,4.5,1264,176,38990
141,Samsung Ga,4,16,4000,64,6.4,4.4,17179,1418,18000
142,Gfive U331,32,0,,64,1.8,3.6,23,1,1149
143,Tork X9,32,0,1800,32,2.8,3.6,26,3,1099
144,Samsung Ga,8,48,3700,128,6.7,4.5,2705,361,40900
145,OnePlus 7 ,8,48,3700,256,6.41,4.6,2148,185,37999
146,XOLO ERA 3,3,13,3000,16,5,3.9,6307,1252,8499
147,I Kall K66,32,0,1000,64,1.8,3.5,1275,122,629
148,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
149,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
150,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
151,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
152,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
153,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
154,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
155,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
156,Jmax M40 &,32,1,1050,32,1.8,3.6,8,2,1149
